#delta	response_time_avg_sink_high	sigma(response_time_avg_sink_high)	response_time_max_sink_high	sigma(response_time_max_sink_high)	response_time_avg_sink_low	sigma(response_time_avg_sink_low)	response_time_max_sink_low	sigma(response_time_max_sink_low)	low_util	sigma(low_util)	hi_util	sigma(hi_util)
0	0.0999532929527848	0.00020217821448787412	1.12209178114	0.05604004556092336	0.1001371432173594	0.00045244982174442284	1.1954762602026001	0.14517599803959869	0.599963183548438	0.0029900875227670816	0.60046554629686	0.004875149301348858
1	0.11099032050301001	0.0002601983348261633	1.2303351847828001	0.14031522040702152	0.0908567936406958	0.0003318371290140235	1.0223695411209999	0.14474988930996502	0.66465113550343	0.003959142485332724	0.5446182672805799	0.00102443739291378
2	0.124980155438568	0.00046684404705316475	1.3831625149248001	0.202108883600314	0.08340318116826641	0.0001984956080084484	1.0220332126622	0.10179966997676333	0.74987418707854	0.00521816813259418	0.500189182205474	0.0010820226151564995
3	0.14298405822737797	0.00021429608753227046	1.5769837908094	0.07525093191131353	0.0768587127161148	0.0001600547112246928	0.940513813357	0.12498369474096306	0.858249503861158	0.0030929141388975514	0.46047019396484	0.0009538025455630644
