#delta	response_time_avg_sink_high	sigma(response_time_avg_sink_high)	response_time_max_sink_high	sigma(response_time_max_sink_high)	response_time_avg_sink_low	sigma(response_time_avg_sink_low)	response_time_max_sink_low	sigma(response_time_max_sink_low)	low_util	sigma(low_util)	hi_util	sigma(hi_util)
0	0.0999532929527848	0.00020217821448787412	1.12209178114	0.05604004556092336	0.1001371432173594	0.00045244982174442284	1.1954762602026001	0.14517599803959869	0.599963183548438	0.0029900875227670816	0.60046554629686	0.004875149301348858
1	0.09997774338646839	0.0005046061533674774	1.1945371323551999	0.12648508029360211	0.10015316347475581	0.0001610627018422371	1.1648761014342	0.13970939135516125	0.499445475731644	0.0032852532948581654	0.7018451709718859	0.002766537653382601
2	0.1000317134895814	0.00021632117284504552	1.1122305513368	0.08740026140039386	0.10007981006170141	0.00025318641220577957	1.1823811220410003	0.13424053894276605	0.400895848275726	0.0027505133581667875	0.7999573444199279	0.0019414571479554237
3	0.10006844068418459	0.0005291206830331643	1.0935383117812	0.17025113113833104	0.09987147906827361	0.0003426321164073008	1.2071726114572	0.1272249132546863	0.298639639332426	0.002363120441627318	0.8988629954170679	0.004003322636455787
