#delta	response_time_avg	sigma(response_time_avg)	response_time_max	sigma(response_time_max)	low_util	sigma(low_util)	hi_util	sigma(hi_util)
0	0.1000458259632276	0.00023592588816514993	1.2381067036938	0.10830747970562978	0.599963183548438	0.0029900875227670816	0.60046554629686	0.004875149301348858
1	0.10091827677451799	0.0003175084157519835	1.2303351847828001	0.14031522040702152	0.66465113550343	0.003959142485332724	0.5446182672805799	0.00102443739291378
2	0.104196539382574	0.0001491638133040685	1.3831625149248001	0.202108883600314	0.74987418707854	0.00521816813259418	0.500189182205474	0.0010820226151564995
3	0.109952233565632	0.00011222940039578776	1.5769837908094	0.07525093191131353	0.858249503861158	0.0030929141388975514	0.46047019396484	0.0009538025455630644
