#delta	response_time_avg	sigma(response_time_avg)	response_time_max	sigma(response_time_max)	low_util	sigma(low_util)	hi_util	sigma(hi_util)
0	0.1000458259632276	0.00023592588816514993	1.2381067036938	0.10830747970562978	0.599963183548438	0.0029900875227670816	0.60046554629686	0.004875149301348858
1	0.100080412257776	0.00022965604252523264	1.2724572676794002	0.1318518985709647	0.499445475731644	0.0032852532948581654	0.7018451709718859	0.002766537653382601
2	0.1000639637545228	0.0001491016860124434	1.2119779136522002	0.1357052205190924	0.400895848275726	0.0027505133581667875	0.7999573444199279	0.0019414571479554237
3	0.09992072463489661	0.0001886568716106242	1.2632908587665999	0.13996787426806	0.298639639332426	0.002363120441627318	0.8988629954170679	0.004003322636455787
